Author,Comment,PublishedAt
@asmr094,yok vote sctv music awards nya moo yok semngat,2024-05-02T02:49:47Z
@worawatworawat7615,,2024-05-01T16:18:07Z
@riofebrian3594,sudah 2024 nih blum balik juga,2024-05-01T11:10:07Z
@tata-lf4jr,dan sampai sekarang aku masih menunggu janji itu bahkan sampai waktu itu tiba 2014 rindu itu,2024-05-01T05:13:50Z
@s.k.a66,inget mantan inget nabi muhammad saw,2024-04-30T23:33:01Z
@fitriheriyanti1683,bru nge model video clipny alsad tnyta duh syg bgt hubungan mreka hrus berakhir,2024-04-30T18:11:54Z
@MayangOctavia,lagu ny mengingt kn dgn suami hebat ku yng udh prgi k surga duluan tunggu bunda ya yahh,2024-04-30T01:21:42Z
@TokoKopkarPalapa,anjay,2024-04-30T00:25:09Z
@Tehkotak_Dellaa,di menti 300 sampai 331 enak bgtt,2024-04-29T22:07:04Z
@aswankasikiaswankasiki8247,1010,2024-04-29T17:42:03Z
@dwikyramadhan6124,2024 masih setia dengerin lagu ini,2024-04-28T04:26:48Z
@ramadhanihsan2705,lagu ini jelek krn tdk relate dengan cinta seorang kekasih lebih relate tentang cinta seorang hamba kepada rasulullah,2024-04-27T17:44:55Z
@Rizki71712,padahal 11 hari yg lalu masih 49 jt,2024-04-27T11:22:32Z
@rikyadryansyah0948,janset hari ini top 52 on spotifyy dikit lagi yokk,2024-04-27T10:24:30Z
@fivech3652,sering dipakai cerita nabi muhammad di tiktok selalu merindukan beliau kalo denger lagu ini,2024-04-27T07:31:46Z
@isaramadhaan4451,internet please do your magic namanya desi alviani and i love her so muchhh seandainya kamu baca ini aku cuma pngen kamu tau kalo aku bakal selalu nunggu kamu buat pulang lagi yah terimakasih banyak sudah hadir aku bersyukur banget berterimakasih banyak sama tuhan you always be my favorite dummy girl i love ya,2024-04-26T20:44:20Z
@rikyadryansyah0948,yok join top 50 spotify jangan males2an ya,2024-04-25T13:52:15Z
@Jawapride2024,hohohoho,2024-04-25T11:32:57Z
@zhoratunayuwalmakia1718,kesini gra lagu ini jadi sound tiktok kisah abdi negara,2024-04-25T08:54:05Z
@R_6969_,kgn bgt vibes 2022 huffttt,2024-04-25T00:57:11Z
@yohanasiallagan3553,yuk intip perjalanan karier tiara andini,2024-04-23T23:12:44Z
@Ngapocak,best song ever,2024-04-22T11:45:23Z
@TaniaRifqi,tadinya suka sama kpop gk ngerti juga tapi kerasa banget gtuheh masyaallah nemu lagu lagu kk tiara aku jadi ter banget nyentuh sekalee,2024-04-22T04:18:47Z
@aditiohariantoPutra,kukira aku satu satunya ternyata aku salah satunya,2024-04-21T13:27:03Z
@vivophone9660,,2024-04-21T11:43:58Z
@luthficahyadi6084,tahukah dirimu betapa diriku merindukan hadirmu,2024-04-21T09:43:42Z
@egihergian5456,kesini gra2 lagu ini jadi sound tiktok kisah nabi muhammad,2024-04-21T03:21:22Z
@melatiku86lindamaniez57,singapore 20222023 thanks for someone yg mengisi hatiku selama 15 thn kmrn msh merindukanmu walaupun iklas melepasmu kinidoa terbaikxu btmu dzna,2024-04-20T21:31:19Z
@user-zt8rz5jd9q,dari banyak nya lagu tiara andini tetep lagu janji setia pemenangnya,2024-04-20T12:20:10Z
@Alice_Kookie-8797,ya allah lagu kesayangan hampir 2 taun aja msh semangat kan moo gasin 100jt,2024-04-20T04:48:55Z
@kirinasaysareh7310,tiktok saya orang thailand suka lagu indo,2024-04-19T04:06:12Z
@loveAnikaAlhidayat,bismillah assalamualaikum kesayangan ku yg jauh di mata dekat di hati dan slu ada di setiap doa ku happy anniversary kesayanganku puji syukur atas segala nikmat serta karunianya yg begitu indah alhamdulillah 52 bulan kita lalu bersama dgn penuh cinta kasih sayang serta kerinduan yang kian mendalami you forever percayalah kasih jarak dan waktu tak mampu menghapus janji setia menjaga hatihati ini cinta ini diri ini adlah milikmuslu doa terbaik utk kita utk hubunganutk cinta kita sehat slu dan slu dlm lindungan nya serta ridhoi nya dan bismillah smoga allah memperkenankan kita dlm fayakun nya amin happy anniversary ke52 19042024 bismillah langgeng utk selamanya amin ya rob,2024-04-18T17:38:08Z
@ASN_Teladan,titilagu2mu gak ada yg gagal fokus,2024-04-18T07:13:37Z
@isaramadhaan4451,internet please do your magic her name is desi alviani aku ngga peduli telingaku jadi tuli kalo dengan dengerin lagu ini bisa bikin aku keinget kamu terus lagu ini mewakili apa yang mau aku bilang ke kamu jadi kalo kamu lihat tulisan ini i just want you to know that i love you too much,2024-04-17T18:38:10Z
@irwandi4121,bismillah 100 jutaa views yokk,2024-04-17T17:24:46Z
@rafindrafarona,apakah setia itu masih ada di zaman sekarang,2024-04-17T03:32:12Z
@rizkyfidiansyah2768,gas 68 jt moo sambil up cantik 1,2024-04-16T23:07:21Z
@RioNarko,yanto itu gak jelas,2024-04-16T14:59:46Z
@whateverneverminds2807,entah kenapa kalo denger lagu ini kayak related banget sama baginda nabi muhammad shalallaahu alaihi wassalaam ya rabb semoga kami semua umatmu mendapatkan syafaatmu di yaumul akhir kelak allahumma sholli ala sayyidina muhammad,2024-04-16T13:25:29Z
@MuhammadDanishWarawut,dimana kah kamu humairah hanna hahahahaha,2024-04-16T10:39:47Z
@Rizki71712,lagunya 429 detik ditonton sebanyak 4900000 kali berarti sama aja muter lagu ini selama 41 tahun nonstop,2024-04-16T06:39:25Z
@zahrohputralestari1141,siaap,2024-04-15T18:19:49Z
@zahrohputralestari1141,ok,2024-04-15T18:19:36Z
@zahrohputralestari1141,bener,2024-04-15T18:19:25Z
@zahrohputralestari1141,ya,2024-04-15T18:19:08Z
@zahrohputralestari1141,bersama deny bastian dr,2024-04-15T18:18:32Z
@nighttime2693,hari jumat nanti tanggal 19 tiara andini bakal rilis lagu baru judulnya kupu kupu ciptaan laleilmanino pembuat lagu gemintang hatiku 365 hadapi berdua nya tiara stay tune teman teman,2024-04-14T10:55:35Z
@Kuromi_Lilac,alshad ahmaddd tiara andinii,2024-04-14T05:34:51Z
@DestraPerdana,dulu kalo mau sekolah selalu di kasih uang saku lebih beliau tidak berpesan jagan boros boros ya nak tapi kalo ada temen gak jajan apa gimna kamu kasih ya jagan pelit selalu mengajarkan ringan tangan dan selalu bersedekah dan di ajar kan selalu tabah dalam kondisi apa pun tanpa memikirkan perkataan orang lain tenang tenang di sana nek sekarang aku udah 21 thn nenek walaupun belum bisa di bilang orang baik alhamdulillah hal yg sdh di tanam kan sejak kecil masih tetep aku pertahananin,2024-04-14T04:08:30Z
@loveAnikaAlhidayat,67913494 x ditonton 0729 wib 14042024 611 rb like 89 rb komen 252 jt subscriber,2024-04-14T00:30:11Z
@awannn_zzz,dengerin ini lagu ini pas lebaran,2024-04-13T09:26:36Z
@yasminalya5534,eeeeeeeee,2024-04-12T05:28:58Z
@lefikalangi9442,kisa lirik nyata merindukan hadirmu ada di sini,2024-04-11T13:01:24Z
@jejuromero9091,lebaran dah selesai saatnya fokus vote sms dan streamingnya makin digasssskan mootiara spread love not hate,2024-04-11T08:16:53Z
@user-dr6mp4wf1z,janji setia official music video,2024-04-10T04:18:33Z
@rikyadryansyah0948,janset join top 50,2024-04-09T11:27:36Z
@user-vz9pd4xm6v,alhamdulilah lagu si paling solehah janji setia comeback top 50 spotify,2024-04-09T10:50:54Z
@krisfiyan7096,janset back to top 50 gas naiki lagi kalau bisa kita bikin peak baru ke top 10,2024-04-09T10:19:51Z
@gitaandriani3679,ga bosen bosen dengerin ni lagu janji setia,2024-04-09T07:44:20Z
@rikyadryansyah0948,yuk bawa janset ke top 50 lagi,2024-04-09T01:27:27Z
@jejuromero9091,konsisten maha dan lpk soalnya lagi onfire semoga segera masuk top 20 dan 5 janji setia bismillah jebol top 50 tega terbangkan lagi bismillah soon cantik join top 200 jangan lupa vote dan smsnya moo 3 piala buat titi tahun ini hattrick nya yokkk,2024-04-09T01:25:50Z
@user-vz9pd4xm6v,janji setia 4 langkah lagi comeback top 50 keren bgt emg lagunya tipe lagu yah gk bosen di denger sih ini mah bakal long lasting,2024-04-09T00:05:31Z
@doelge2157,suka lagu ini pas dikasih gamelan semoga nanti tampil di acara besar instrumennya pake gamelan terngiang hhee,2024-04-08T21:56:39Z
@rezkyy27,248,2024-04-07T02:50:05Z
@nabellawella2856,kukira hanya lagu ternyata kisahku,2024-04-06T22:12:59Z
@programmerexpertx100,ngoding sambil dengerin lagu galau,2024-04-06T15:40:01Z
@jangkrikboss3929,iy,2024-04-04T20:47:46Z
@azizahkurnia7384,lagi sering puter lagu yg ini eh hubungan mreka udh jadi mantan terindah tpi lagunya mantan terindah dinyanyiin breng arsy yg pnting lagunya enak di dengerin yak piss damai,2024-04-04T08:28:43Z
@desdiecast,,2024-04-03T03:58:25Z
@WiwikwidyoriniRomadhona,sumpah bareng sama alsha d ahmad,2024-04-02T13:49:51Z
@sh1nzuu,janji setia x cerita nabi muhammad saw,2024-04-01T08:16:00Z
@inez1497,lagu yang mengingatkan ku betapa aku sayang sekali sama allah swt dan nabi muhammad saw,2024-04-01T07:07:05Z
@30detik40,seketika inget fyp thank you jokowi,2024-03-31T20:50:24Z
@kaze6813,gu keinget rasulullah kalo dnger lagu ini,2024-03-31T14:19:53Z
@dayatyat9663,gak pernah bosen lagu ini semangat selalu kak tiara andini,2024-03-31T07:43:43Z
@King_Aryant2008,gimana kabarnya sekarangpisah juga kan,2024-03-30T18:21:00Z
@RizkiFadilah-gf6op,toke is dede,2024-03-29T13:45:04Z
@IsannFajarr,68 jt yok semangatt,2024-03-28T18:41:12Z
@deniadiputra8115,lagi terfavorit di album pertamaa sekali dengar langsung suka waktu itu,2024-03-28T11:09:40Z
@resazifahrina2937,aaaaaaa lagu ini bikin aku sedih banget dikit dikit nangis love you pokoknya ini lagu favoritku,2024-03-27T05:35:53Z
@Parkchelyn,janji setia kisah nabi,2024-03-26T23:35:28Z
@user-bi1ll7yg4o,katamu kita janji sama sama untuk tidak saling meninggalkantetapi cuma aku yang menepati janji itusekrang aku sedang benar benar belajar melupakanmu walaupun tiap malam selalu merindukanmudan kegamonan ini sudah sebulan lebihcanda tawa kita akanku buangdan akan ku cri cowo yg lebih teliti lagi,2024-03-25T05:25:03Z
@agusirwanto6196,akuu bangetttt lagunya,2024-03-25T03:19:52Z
@rizkyfidiansyah2768,gas 68 jt sambil up cantik moo,2024-03-24T09:55:33Z
@halinahjumat8083,lagu ku bila rindu rasulullah,2024-03-23T23:24:11Z
@JOYNDEKKENE,hujan turun mewakili hati,2024-03-23T12:56:46Z
@dennyfalintino5304,vibes lagunya tuh enak bngt,2024-03-23T03:04:47Z
@rifkizibril2526,aerosmith bgt,2024-03-22T15:16:25Z
@rismawati-zr8rr,aku suka banget sama hubungan mereka berdua,2024-03-21T09:34:33Z
@bank_man303official6,tiaraaa si magnett,2024-03-21T08:40:22Z
@viewwen,,2024-03-21T05:53:17Z
@LisaSafitri-mi2eo,datang menyinari kitaaaaa huaaaa meriindukan hadirmu ada di sini percayalah kasiiihh jarak dan waktu tak menghapus janji setia menjagaa hatiiii,2024-03-21T04:37:41Z
@mobilelegens3521,ad seseorang yng kenalkan aku sma lagu ini and kmi nyanyi bareng aku main gitar dia nyanyi suara nya merdu banget and orang itu sekarang sdh bahagia sma pilihan nya lagu ini mengingatkan aku sama dia,2024-03-20T23:17:10Z
@IGedeProTV,lagunya tiara slalu sedih,2024-03-20T22:34:41Z
@DuriKepa21,when ketika lu nyibukin diri sendiri buat lupain dia merindukan hadirmu ada disini,2024-03-20T17:38:59Z
@syariatulhasanah3100,gass 70 juta yuk janset,2024-03-20T12:12:16Z
@AMF_GAME,komen nyaa allahumma sholli alaa sayyidina muhammad,2024-03-20T05:43:04Z
@aulvirgo,67 juta 200324 jam 1226,2024-03-20T05:26:32Z
@farahmelania1549,karya titi gak pernah ada yang jelek selalu bagusss,2024-03-19T23:54:15Z
@SimpanSimpang,merdu banget suaranya,2024-03-19T13:23:14Z
@loveAnikaAlhidayat,bismillahirrahmanirrahim assalamualaikum cinta nya aku yg jauh dimata dekat di doa selamat atas datangnya hari jadi kita yg ke 51 ya bii smoga kedepannya lebih baik dan doa terbaik smoga kebahagiaan keberkahan dan keridhoan menyelimuti hari kita dan smoga kebahagiaan slu milik kita luv u full kesayangankuaku milikmu abii milik ku kita saling memiliki satu utk selamanya bismillah kita dlm fayakun nya happy anniversary kesayanganku anksh 19 forever emmuaaaach percayalah kasih jarak dan waktu tak mampu menghapus janji setia menjaga hati 19maret 2024,2024-03-18T17:28:02Z
@NanaAgustina179,gasss 67jt moootiara,2024-03-18T16:54:26Z
@EliziRamadhani,ga pernah bosen sama lagu ini tiara alshd hubungan kalian jga breng sama hubunganku sama cwo ku jdi lagu ini sama sama pnya arti buat kita,2024-03-18T15:57:44Z
@irgiirawan3112,mewek aku keinget kisah rasulullah saw,2024-03-18T09:21:13Z
@wh109,janji setia itu bukan lagu religi tapi bulan puasa chartnya stabil dan cenderung naik karena enak bgt baca kisah nabi pake backsound lagu ini,2024-03-17T13:51:08Z
@srinurhaliza3984,apis piros aku masih ingin dapat kesempatan buat kita sama sama lagi knp kita seperti ini howw,2024-03-17T05:29:01Z
@ranydwisetyani669,semua lagu tiara enak bgt tapi ada satu lagu yg aku suka pake bgt janset,2024-03-16T06:14:22Z
@aguskurniawan5866,p,2024-03-14T11:24:13Z
@dhiyaulhaqaxisfadhillah,menyalaa sayangggg,2024-03-14T07:52:21Z
@manuelhutagalung89,lagunya mirip aerosmith i dont want miss a thing apakah plagiat,2024-03-13T21:19:07Z
@angelinesouver9695,aku sengaja datang mlm ini buat dengerin lagu ini krna lagu ini suka jd backsound kisah kisah nabi di ig jd aku lg rindu bgt sama nabi muhammad selain solawatan suka denger lagu ini,2024-03-13T15:28:23Z
@_Tolak_angin,lagu ini ada berkahnya juga karena sering dibuat backsound nabi muhammad saw sukses buat titi,2024-03-13T10:56:57Z
@arymori1939,suka banget ama tipe suaranya tiara sukses terus ya,2024-03-12T13:54:28Z
@user-sl2si9sc4h,tiara cantik comel dan lagu ni sedap sangat,2024-03-12T11:27:55Z
@baribudiarji2agmailcom,ds ustieyyreityuudyx7jdyujyyryxhyjsyxyydhuuurydkycuyydyuthyxyuejiudujfuyyryyyuduyhhdhhdhuxuhxhjdhxhehhsyyxgghdychhdhhshhdhyuuuuududuudhhhhdhdusuuyyxyyhududuuudhyhhhhdhhdhhhhdhhhhdhhduhudhhduhhchhdhhhduudhhfhhhu,2024-03-12T06:57:37Z
@baribudiarji2agmailcom,vhjhghhhhuhigihhigugghfhfhgghgghhgijhhihgjuhhihhhhhhhhjuiioouiiiituiyiuuiiyijlkkjjuhhuuuuukkji,2024-03-12T06:54:48Z
@adengb19,2024 hadir,2024-03-12T03:17:24Z
@UlulNgilmi-sp4dl,jadi suka sama lagu ini dan sering bgt dengerin cuma gara lagu ini lagu favorit mantan saya,2024-03-11T14:10:40Z
@DuriKepa21,makin lama makin enak aja lagunya,2024-03-11T08:39:02Z
@dhuta8131,asta handoko itu personil ran apa bukan sih,2024-03-10T13:18:40Z
@alihariyanto2920,lagu yang selalu lewat nih,2024-03-10T02:27:00Z
@telvininnocent,i dont understand the words but i still like the song,2024-03-08T10:51:48Z
@erikaja6469,315 favorit merdu banget jiwa berasa dimurnikan seperti ada yang beresonansi jantungku seakan berdetak lebih cepat namun tetap tenang nyaman,2024-03-08T07:13:24Z
@yudhasyhab9288,yah gua kira lagu raisa dong,2024-03-07T07:26:51Z
@carlsandika,allahumma sollihallah saidyina muhammad,2024-03-06T03:31:48Z
@andikaputra5061,janji setia x cerita nabi muhammad,2024-03-06T02:04:27Z
@carnationautosound3848,dengerin di home audio pke ni lagu ngeri bgt emosinya ampun mbak susaranya badai,2024-03-05T19:33:24Z
@ellinellin5475,semangat menjemput 661views bismillah,2024-03-04T12:53:53Z
@user-yz9st7et1b,dengar lagu ini ingat kisah nabi muhammad saw sahabatnya,2024-03-04T02:26:32Z
@rizkyfidiansyah2768,gas 67 jt moo sambil up masih hatiku,2024-03-04T00:04:48Z
@itsme_ayiy,ayo janji sayang,2024-03-03T13:17:38Z
@Ghazz-tm5hy,200 paling populerr,2024-03-02T07:08:04Z
@luv.uankshalsyam898,79 rb lgi menuju 66 jt gsnas jg ini janset gak nysngks bisa ngalahin merin mv vl secara merin waltu itu tembus di smua platform lo masya allah gsk di sangja jsnset bisa ngejar merin,2024-03-02T00:44:53Z
@armayeni4779,baru sadar ternyata cowok nya itu adalah alshad ahmad,2024-03-01T14:33:15Z
@Duniawijayanti,style titi di lagu ini hampir mirip di lagu yega yak,2024-03-01T08:58:06Z
@galihrakasiwi6362,p,2024-02-29T23:46:01Z
@raraclmk8837,baper banget liat ka tiara sama bang alshad,2024-02-29T18:01:49Z
@Irfanuuuuuuuuu,tiara akan perform di acara puteri indonesia tgl 8 maret live di sctv ramaikan ya guys,2024-02-29T16:43:23Z
@adetwp,seneng lagu ini gara fyp ttg kisah rasulullah ko bisa pas bgt yaa yaa sayyidii yaa rasulullah,2024-02-29T08:29:30Z
@blace1200,i saw this on tiktok,2024-02-29T05:55:17Z
@KevasAfendar,yang kesini gara gara kisah rasulullah like,2024-02-28T13:50:49Z
@dhogaming3819,andai saja ku bisa genggam tanganmu langsung kebayang lagi genggam tangan rasulullah saw dengan sorban hijau dengan wajah bercahaya,2024-02-28T06:46:35Z
@APRILIANURLITA-tt4ub,model nya mantan titiyg punya macan ya,2024-02-27T07:48:32Z
@BabyFox09,first time here from viet nam with love for tiara,2024-02-27T05:43:47Z
@Tiara-db3er,ingat alm eril klo denger lagu ini,2024-02-23T17:29:34Z
@PanjiFauzanAbdurachman,rindu rasulullah dengerin lagu ini,2024-02-23T14:03:54Z
@raraindahnoor3408,rindu terus habibiku lahul fatihah,2024-02-23T09:18:14Z
@fajarmuhammad223,nangis denger lagunya,2024-02-23T08:36:33Z
@diahn_j,kangen titi alshad,2024-02-23T05:56:21Z
@afrinr1169,lucu bgtttt,2024-02-23T03:23:58Z
@MyEmptyBottle,suara tiara aku suka bgt i love you tiara,2024-02-22T07:13:06Z
@Ashrfqz,,2024-02-22T03:57:44Z
@BangJapsEntertainment,ini sebenarnya lagi cocok buat rasulullah saw ya,2024-02-21T23:03:28Z
@danangpanggalih,memang bagus nih suara dan lagu yg di bawaain tiara exelent work,2024-02-21T13:39:20Z
@Hunting_family,ex gf,2024-02-21T12:02:40Z
@mamanbaululumcirebon8878,setiap denger lagu ini ingat pacar ingat nabi muhammad saw lagu bikin nangis rindu dengan nabi muhammad saw,2024-02-21T03:37:12Z
@DuriKepa21,aku menawarkan kesetiaan tapi kamu memilih pengkhianatan,2024-02-20T09:23:52Z
@debyatman8842,salah satu lagu terbaik,2024-02-20T08:46:16Z
@user-dp3tr8ov4r,masih sama alshad ahmad kangan waktu titi masih sama alshad ahmad,2024-02-19T08:43:04Z
@user-oq9gy9qj1w,415,2024-02-19T06:33:53Z
@user-oq9gy9qj1w,perfect,2024-02-19T06:33:00Z
@cintanyaakush9759,bismillahirrahmanirrahimbuat mu yg jauh di sana selamat hari jadi kita yg 50 sayang bagia bersamamudan semoga bahagia slu milik kita jangan biarkan apapun dan siapapun merusak kebahagiaan kita luv kesayangankuaku sayang kamudoa terbaik untuk kita sayang sekali lgi happy anniversary kesayanganku aku milikmu dan kamu miliki ku slu utk selamanya bismillah kita dlm fayakun nya anksh 19 always forever 19022024 0022 wib,2024-02-18T17:22:55Z
@cintanyaakush9759,janji setia menjaga hati congratulations utk 65 jt view masya allah moo alhamdulillah penambahan viewnya masih tinggi 6070 rb 24 jam nya,2024-02-17T23:20:45Z
@cintanyaakush9759,65009943 x ditonton 0618 wib 18022024 605 rb like 89 rb komen 249 jt subscriber,2024-02-17T23:19:40Z
@user-le6lk6ry1l,rumah neraka,2024-02-17T21:33:14Z
@restuarr,congrats 65jt views moo semoga cepat 100m nya,2024-02-17T17:08:46Z
@vearlyanaayu2917,9k lg 65jt,2024-02-17T14:10:07Z
@user-ht7ig7tp1n,cinta banget sama lagunya,2024-02-15T22:50:08Z
@muhammadhafiz2958,semangat team tiara,2024-02-15T17:42:46Z
@rivaldoviki305,adem banget,2024-02-15T17:24:11Z
@kamaseanfanbaze,liriknya jarak n waktu itu sih kek everlasting ni lagu menjaga hati,2024-02-15T10:41:10Z
@bidangpajakdaerah8140,lagu yg tak pernah bosan di dengar,2024-02-15T04:13:14Z
@user-zu2mz1bh9s,lagunya orng tulus ketika di jalan aspal yang lurus,2024-02-14T20:34:55Z
@user-cc4ep6ll1c,aku melepas dan merelakan mu dengan ikhlas padahal aku masii sangat sangat mencintai mu kamu tau apa yang buat aku mengikhlaskan mu dengan tersenyum karna aku tau jika kau bersama orang lain kau terlihat sangat bahagia di banding kan bersama ku aku berjanji kepada mu apapun yang membuatmu bahagia kejar lah aku merelakan mu demi melihat mu bahagia bersama orang lain meski aku terluka itu semata mata demi kebahagiaan mu,2024-02-14T10:02:58Z
@ahmadrusaili5468,trmkasih tlh hdir dlm hidupku bbrpa thn trkhir inimmng kmu prmpuan yg hbt jrk tak mmpu mmthkan rasa cnta kita,2024-02-13T03:34:11Z
@riacantik3982,2024 masih syuka dengan video nya,2024-02-12T22:37:51Z
@jeje-md5ic,tiara andini 2024 smkn smp 15 sma 5 sma 6 pratek merah motor jipi ds tablet tabulet baktik orens,2024-02-12T00:24:49Z
@user-fp5ze3xk6z,kamu diam aja na gk ngapangapain chating2an sama suami orang bisa ngerusak rumah tangga orang gila sih salah sendiri lakinya udh nikah masih aja kode2 in angka aku di sosmed nya gak mikirin perasaan istrinya janji setia nya gk bisa dipegang nya emang paling bener gak sama dia dulu kah mana istrinya mau ngelahirin sibuk ngodein aku padahal akun nya udh di unfollow istri nya nauzubillah mau chating sama suami orang kenapa jalur ku selalu kearah untuk jadi pelakor gini ya yaallah padahal anti banget kalau sudah jadi suami orang mau akrab chating2an nauzubillah,2024-02-11T15:56:37Z
